word,definition
ornate,marked by elaborate rhetoric and elaborated with decorative details; ; -John Milton
ornery,having a difficult and contrary disposition; - Dorothy Sayers
oroide,alloy of copper and tin and zinc; used in imitation gold jewelry
orphan,a child who has lost both parents
orphic,ascribed to Orpheus or characteristic of ideas in works ascribed to Orpheus
orpine,perennial northern temperate plant with toothed leaves and heads of small purplish-white flowers
orrery,planetarium consisting of an apparatus that illustrates the relative positions and motions of bodies in the solar system by rotation and revolution of balls moved by wheelwork; sometimes incorporated in a clock
oscine,passerine bird having specialized vocal apparatus
osiris,Egyptian god of the underworld and judge of the dead; husband and brother of Isis; father of Horus
osmium,a hard brittle blue-grey or blue-black metallic element that is one of the platinum metals; the heaviest metal known
osmund,any fern of the genus Osmunda: large ferns with creeping rhizomes; naked sporangia are on modified fronds that resemble flower clusters
osprey,large harmless hawk found worldwide that feeds on fish and builds a bulky nest often occupied for years
ossify,become bony
osteal,relating to bone or to the skeleton
ostrea,type genus of the family Ostreidae
ostrya,deciduous monoecious trees of Europe and Asia and America; sometimes placed in subfamily or family Carpinaceae
ostyak,a member of the nomadic Ugrian people living in northwestern Siberia (east of the Urals)
oswald,United States assassin of President John F. Kennedy (1939-1963)
otaria,type genus of the Otariidae
otides,terrestrial game birds of the Old World and Australia: bustards
otiose,serving no useful purpose; having no excuse for being
otitis,inflammation of the ear
ottawa,a member of the Algonquian people of southern Ontario
ouster,a person who ousts or supplants someone else
outage,the amount of something (as whiskey or oil) lost in storage or transportation
outbid,bid over an opponent's bid when one's partner has not bid or doubled
outcry,a loud utterance; often in protest or opposition
outfit,any cohesive unit such as a military company
outing,a journey taken for pleasure
outlaw,someone who has committed a crime or has been legally convicted of a crime
outlay,the act of spending or disbursing money
outlet,a place of business for retailing goods
output,final product; the things produced
outrun,run faster than
outset,the time at which something is supposed to begin
outvie,be more of a rival than
outwit,beat through cleverness and wit
overdo,do something to an excessive degree
overly,to a degree exceeding normal or proper limits
ovibos,consisting of the musk-ox
ovular,being or of the nature of an ovule
owlish,resembling an owl; solemn and wise in appearance
oxalis,any plant or flower of the genus Oxalis
oxcart,a cart that is drawn by an ox
oxford,a city in southern England to the northwest of London; site of Oxford University
oxtail,the skinned tail of cattle; used especially for soups
oxygen,a nonmetallic bivalent element that is normally a colorless odorless tasteless nonflammable diatomic gas; constitutes 21 percent of the atmosphere by volume; the most abundant element in the earth's crust
oyster,marine mollusks having a rough irregular shell; found on the sea bed mostly in coastal waters
pacify,cause to be more favorably inclined; gain the good will of
packer,a workman employed to pack things into containers
packet,a collection of things wrapped or boxed together
padder,a highwayman who robs on foot
paddle,small wooden bat with a flat surface; used for hitting balls in various games
pagoda,an Asian temple; usually a pyramidal tower with an upward curving roof
pagrus,a genus of Sparidae
paigle,Eurasian primrose with yellow flowers clustered in a one-sided umbel
pained,cause bodily suffering to and make sick or indisposed
paired,form a pair or pairs
paiute,a member of either of two Shoshonean peoples (northern Paiute and southern Paiute) related to the Aztecs and living in the southwestern United States
pajama,a pair of loose trousers tied by a drawstring around the waist; worn by men and women in some Asian countries
palace,a large and stately mansion
palaic,an Anatolian language
palate,the upper surface of the mouth that separates the oral and nasal cavities
palely,in a manner lacking interest or vitality
paling,a fence made of upright pickets
palish,slightly pale
pallas,(Greek mythology) goddess of wisdom and useful arts and prudent warfare; guardian of Athens; identified with Roman Minerva
palled,become friends; act friendly towards
pallet,the range of colour characteristic of a particular artist or painting or school of art
pallid,abnormally deficient in color as suggesting physical or emotional distress
pallor,unnatural lack of color in the skin (as from bruising or sickness or emotional distress)
palmae,chiefly tropical trees and shrubs and vines usually having a tall columnar trunk bearing a crown of very large leaves; coextensive with the order Palmales
palmar,relating to the palm of the hand or the sole of the foot
palmed,"touch, lift, or hold with the hands"
palmer,United States golfer (born in 1929)
palter,be deliberately ambiguous or unclear in order to mislead or withhold information
paltry,not worth considering
pampas,the vast grassy plains of northern Argentina
pamper,treat with excessive indulgence
panama,a republic on the Isthmus of Panama; achieved independence from Colombia in 1903
pander,someone who procures customers for whores (in England they call a pimp a ponce)
pantie,short underpants for women or children (usually used in the plural)
